id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
72,I,1.1,0.8,0.2625,12.85649825,5.953395,2.33883375,3.40194,7.0
73,F,1.5375,1.1375,0.4375,36.3157095,9.2135875,7.89533575,11.3398,21.0
74,M,1.3,1.1,0.375,24.67823975,11.5382465,4.422522,7.2291225,8.0
75,M,1.175,0.8875,0.3,13.96212875,6.73300625,3.27436725,3.81300775,8.0
76,F,1.2,0.975,0.3875,17.08057375,8.97261675,3.98310475,5.10291,12.0
77,I,1.2,0.9125,0.3375,15.2236815,6.70465675,2.87747425,4.9611625,8.0
78,I,1.25,0.95,0.2875,20.28406725,9.1001895,3.95475525,5.386405,10.0
79,F,1.6375,1.275,0.4375,36.38658325,17.22232125,8.06543275,9.355335,11.0
80,F,1.375,1.1,0.35,24.6357155,11.0846545,6.4353365,6.520385,8.0
81,M,1.5375,1.2125,0.4125,31.3828965,11.94931425,6.917278,9.63883,18.0
82,M,1.575,1.2125,0.3875,29.80949925,13.42348825,6.80388,7.7961125,11.0
83,M,1.4875,1.1875,0.3625,24.323871,11.1413535,4.706017,7.087375,11.0
84,F,1.575,1.2875,0.475,35.0116325,13.947954,8.06543275,12.757275,19.0
85,F,1.625,1.2125,0.425,31.02852775,15.0535845,7.98038425,8.1363065,9.0
86,F,1.4875,1.2125,0.4125,28.8314415,11.43902325,6.123492,9.63883,10.0
87,I,1.125,0.8625,0.2875,13.96212875,5.5281525,3.061746,3.40194,8.0
88,F,1.5,1.1625,0.4125,30.17804275,11.94931425,6.95980225,11.623295,21.0
89,I,0.4875,0.3625,0.125,0.86465975,0.3118445,0.21262125,0.283495,5.0
90,I,0.7875,0.625,0.15,3.55786225,1.5592225,0.75126175,1.1056305,5.0
91,I,1.25,0.95,0.2875,14.6566915,7.52679225,3.01922175,4.6776675,8.0
92,F,1.6,1.25,0.4125,35.59279725,14.911837,8.83086925,10.489315,14.0
93,I,1.175,0.9125,0.3,15.762322,6.066793,3.72795925,5.10291,8.0
94,F,1.425,1.125,0.4,27.442316,10.77281,6.1518415,8.3631025,11.0
95,M,1.625,1.225,0.4125,37.0527965,16.0174675,7.314171,10.0640725,10.0
96,M,1.025,0.8,0.25,8.561549,4.63514325,1.88524175,2.551455,9.0
97,I,1.3125,1.0,0.35,19.1359125,7.1724235,4.53592,6.3786375,12.0
98,I,0.975,0.7,0.225,7.654365,3.10427025,1.88524175,2.1829115,6.0
99,M,1.5,1.15,0.4,27.8675585,11.736693,7.15824875,7.37087,9.0
100,F,1.3375,1.0,0.3875,22.55202725,7.3992195,5.2446575,7.654365,20.0
101,F,1.575,1.225,0.4125,30.504062,13.9196045,6.8889285,8.788345,10.0
102,F,1.2,0.975,0.3,16.45688475,7.24329725,3.44446425,5.10291,11.0
103,F,1.7375,1.325,0.4375,46.13881125,21.53144525,9.015141,13.324265,11.0
104,M,1.425,1.1125,0.3125,29.5685285,12.94154675,6.22271525,8.0796075,9.0
105,F,1.3375,1.0875,0.3875,24.323871,9.87980075,5.00368675,6.80388,14.0
106,I,1.2625,1.0125,0.3125,17.7184375,8.3064035,3.50116325,5.2446575,8.0
107,M,1.5875,1.2375,0.4625,36.58502975,15.5638755,8.60407325,9.7805775,11.0
108,M,0.9375,0.65,0.2375,5.08873525,2.08368825,1.3891255,1.70097,5.0
109,I,1.175,0.9375,0.3,15.43630275,7.24329725,3.18931875,3.96893,9.0
110,F,1.55,1.2125,0.4375,33.12639075,13.39513875,7.3992195,11.056305,20.0
111,I,1.3125,1.0,0.3125,16.839603,6.95980225,3.40194,4.819415,8.0
112,I,1.15,0.875,0.3125,15.35125425,7.6260155,2.9199985,4.6776675,9.0
113,M,1.3125,0.9875,0.375,19.57532975,9.08601475,4.5075705,4.9611625,10.0
114,I,1.3125,1.025,0.35,19.85882475,9.525432,4.43669675,5.0178615,8.0
115,I,1.5,1.2125,0.4125,23.28911425,8.57572375,5.556502,8.0796075,10.0
116,M,1.6375,1.2875,0.525,43.318036,19.4761065,10.602713,11.623295,11.0
117,M,1.3125,0.975,0.3375,16.5844575,7.75358825,4.5075705,4.9611625,7.0
118,M,1.15,0.8625,0.3,11.7650425,4.32329875,1.99863975,3.5436875,9.0
119,I,1.0375,0.775,0.25,7.4559185,2.6365035,1.77184375,2.4097075,8.0
120,M,1.4,1.1375,0.3875,28.7747425,10.75863525,7.7961125,7.7961125,12.0
121,M,1.6625,1.2875,0.4125,38.51279575,16.4143605,7.78193775,10.3475675,11.0
122,I,1.1,0.8875,0.3,12.74310025,5.1312595,2.551455,4.252425,8.0
123,F,1.525,1.225,0.3875,32.3623145,10.19164525,7.6260155,9.4970825,13.0
124,M,1.575,1.2625,0.4125,38.838815,18.63979625,8.88756825,9.39785925,11.0
125,F,1.7375,1.3375,0.4375,44.168521,19.0225145,9.87980075,12.3320325,12.0
126,M,1.075,0.8125,0.225,10.0073735,4.5642695,2.05533875,2.6932025,6.0
127,M,1.225,0.925,0.2875,14.2030995,6.42116175,2.87747425,3.8271825,9.0
128,M,1.45,1.1375,0.3625,26.818627,12.643877,5.34388075,7.7961125,10.0
129,I,1.0375,0.825,0.25,10.73028575,4.63514325,2.5231055,3.40194,8.0
130,I,1.3,1.0,0.3375,21.659018,10.21999475,4.43669675,5.8116475,8.0
131,I,1.1625,0.875,0.275,12.417081,5.74077375,2.8066005,3.96893,8.0
132,M,1.6,1.2125,0.4,32.89959475,14.4298955,6.7755305,8.788345,9.0
133,F,1.5,1.175,0.35,33.40988575,16.0741665,6.56290925,8.1363065,9.0
134,M,1.2,0.95,0.325,14.81261375,4.932813,3.27436725,4.3941725,9.0
135,M,1.45,1.1,0.3375,27.442316,13.13999325,5.57067675,6.80388,10.0
136,I,1.0625,0.825,0.25,10.9145575,4.46504625,2.25378525,2.6932025,7.0
137,I,1.4,1.075,0.3,25.8263945,10.2341695,5.216308,8.788345,11.0
138,I,0.6375,0.5125,0.1625,2.26796,0.963883,0.396893,0.5953395,4.0
139,M,1.4875,1.1625,0.4375,32.772022,11.793392,7.38504475,10.3475675,15.0
140,I,1.1875,0.9,0.3125,14.55746825,6.8322295,2.96252275,4.3941725,8.0
141,M,1.2375,0.95,0.3125,14.5999925,5.556502,3.118445,4.9611625,10.0
142,F,1.1,0.875,0.3125,12.303683,4.40834725,2.67902775,3.3168915,7.0
143,I,1.4125,1.125,0.3,21.27629975,9.68135425,4.01145425,5.10291,9.0
144,I,0.925,0.7125,0.2125,6.2085405,2.73572675,1.11980525,1.644271,6.0
145,F,1.3125,0.9875,0.3625,16.9246515,6.577084,3.9972795,4.819415,9.0
146,M,1.45,1.125,0.3375,30.83008125,12.71475075,6.7755305,10.092422,15.0
147,I,1.075,0.8625,0.275,11.7083435,5.8683465,2.26796,3.685435,8.0
148,F,1.5375,1.1875,0.4125,32.601925,14.5432935,6.350288,8.788345,11.0
149,M,1.6,1.25,0.4125,35.19590425,17.61921425,8.60407325,9.19941275,9.0
150,M,1.5875,1.2375,0.4,34.68561325,15.03940975,7.38504475,9.298636,14.0
151,M,1.5625,1.2375,0.4,36.95357325,17.973583,8.80251975,7.767763,8.0
152,F,1.55,1.2,0.4375,32.545226,12.79979925,6.5487345,11.90679,16.0
153,F,1.4875,1.1625,0.4,31.79396425,13.31009025,6.87475375,8.9300925,10.0
154,I,1.375,1.075,0.375,21.72989175,10.73028575,4.479221,5.953395,9.0
155,F,1.425,1.0875,0.4125,25.060958,7.69688925,5.20213325,8.06543275,17.0
156,M,1.3,1.025,0.3125,22.41027975,8.7032965,4.479221,7.087375,16.0
157,I,1.35,1.0625,0.325,20.36911575,9.05766525,4.9044635,6.3786375,8.0
158,M,1.7875,1.4125,0.4625,47.95317925,23.926978,11.226402,10.5176645,11.0
159,M,1.225,0.975,0.3125,19.1926115,9.42620875,4.252425,5.2446575,8.0
160,M,1.6375,1.3,0.45,37.1094955,15.5071765,9.015141,11.4815475,10.0
161,F,1.3125,1.0,0.3375,20.36911575,7.087375,5.62737575,5.62737575,10.0
162,F,1.25,0.95,0.3375,16.42853525,6.76135575,3.44446425,5.2446575,9.0
163,F,1.525,1.125,0.4125,27.45649075,12.60135275,6.42116175,8.50485,11.0
164,M,1.8625,1.425,0.5375,64.33919025,25.04678325,14.58581775,16.08834125,11.0
165,F,1.2875,1.0125,0.375,18.71067,7.824462,3.9405805,6.80388,11.0
166,M,1.4125,1.1,0.3625,24.5790165,11.169703,6.22271525,6.520385,11.0
167,I,0.5625,0.4,0.1125,1.31825175,0.4819415,0.18427175,0.4252425,5.0
168,F,1.525,1.2125,0.475,34.5013415,13.5794105,6.73300625,11.4815475,17.0
169,I,0.7375,0.55,0.2,3.72795925,1.871067,0.80796075,0.850485,9.0
170,F,1.7625,1.4625,0.475,50.61803225,20.19901875,9.51125725,14.0330025,13.0
171,F,1.2375,0.975,0.3375,16.0174675,6.293589,3.67126025,5.5281525,9.0
172,F,1.55,1.2125,0.4375,37.77570875,19.7596015,8.88756825,8.3631025,10.0
173,F,1.575,1.225,0.425,34.8415355,17.08057375,7.9095105,9.922325,12.0
174,I,1.475,1.125,0.325,24.42309425,10.149121,4.9044635,6.3786375,9.0
175,M,1.6125,1.2375,0.375,37.0527965,19.391058,7.824462,8.9300925,10.0
176,F,1.6,1.2625,0.475,42.2124055,19.6462035,9.241937,10.0640725,10.0
177,M,1.475,1.1375,0.3875,35.62114675,15.06775925,7.78193775,9.2135875,11.0
178,I,0.8375,0.6,0.2125,4.819415,2.19708625,0.963883,1.5592225,6.0
179,F,1.625,1.3125,0.425,43.318036,17.463292,8.54737425,12.757275,19.0
180,I,1.35,1.05,0.3625,27.59823825,13.7495075,5.79747275,7.087375,10.0
181,I,1.4625,1.125,0.5,30.900955,11.736693,6.0384435,9.82310175,14.0
182,I,1.2625,1.025,0.3625,21.38969775,9.99319875,4.706017,5.2446575,9.0
183,M,1.2625,1.0,0.375,18.80989325,7.29999625,3.9405805,5.953395,10.0
184,I,0.975,0.7,0.225,7.44174375,2.70737725,1.65844575,2.26796,6.0
185,M,1.5125,1.225,0.4125,31.808139,9.8372765,7.0023265,8.9300925,10.0
186,I,1.2375,0.95,0.375,17.0380495,6.350288,4.082328,5.2446575,15.0
187,M,1.5375,1.25,0.4375,33.26813825,13.60776,6.98815175,11.056305,14.0
188,F,1.7,1.4,0.4875,51.80871125,20.68096025,10.9712565,12.85649825,15.0
189,F,1.5625,1.2125,0.475,30.674159,12.0485375,6.180191,10.20582,17.0
190,I,1.175,0.925,0.2625,13.551061,5.82582225,2.87747425,4.3941725,7.0
191,I,0.8375,0.65,0.2125,6.33611325,2.48058125,1.48834875,1.587572,7.0
192,I,0.8875,0.65,0.2125,5.40057975,2.2963095,1.48834875,1.5592225,8.0
193,I,1.15,0.9,0.275,12.6722265,6.066793,2.4664065,3.685435,7.0
194,I,0.5125,0.3875,0.1375,1.23320325,0.5386405,0.340194,0.4819415,4.0
195,I,1.0125,0.775,0.25,8.8733935,3.89805625,1.80019325,2.551455,7.0
196,M,1.375,1.0625,0.3625,22.01338675,9.42620875,6.13766675,6.0951425,8.0
197,F,1.4625,1.1875,0.4625,31.62386725,10.546014,6.56290925,10.39009175,11.0
198,M,1.275,1.025,0.325,16.45688475,6.917278,3.50116325,5.2446575,9.0
199,M,1.2625,1.0,0.3625,27.158821,7.881161,4.5075705,10.3475675,18.0
200,I,0.925,0.7,0.2,6.25106475,2.6365035,1.54504775,1.984465,6.0
201,I,1.3,1.0125,0.3125,17.36406875,8.561549,3.742134,5.386405,9.0
202,I,0.8375,0.7,0.2125,5.3013565,2.19708625,1.14815475,1.360776,6.0
203,I,1.3,0.9375,0.3125,17.463292,7.3992195,4.06815325,4.819415,8.0
204,F,1.7625,1.4125,0.4375,45.302501,17.22232125,9.015141,12.246984,11.0
205,M,1.4,1.1375,0.425,26.35086025,12.643877,5.8683465,7.5126175,12.0
206,I,0.5375,0.425,0.1375,1.88524175,0.7087375,0.35436875,0.4252425,3.0
207,F,1.4125,1.1125,0.4,27.00289875,9.865626,5.23048275,9.922325,16.0
208,M,1.525,1.2375,0.4125,33.52328375,13.93377925,7.27164675,10.0640725,10.0
209,M,1.4625,1.1625,0.4,29.10076175,13.11164375,6.61960825,7.5126175,11.0
210,M,1.575,1.275,0.4375,34.79901125,16.3576615,7.98038425,9.298636,10.0
211,I,0.9375,0.725,0.225,5.5848515,2.19708625,1.00640725,2.16873675,6.0
212,M,1.5875,1.275,0.4125,34.5580405,15.0535845,8.2497045,9.922325,12.0
213,F,1.65,1.275,0.4,42.354153,20.68096025,8.29222875,10.3475675,12.0
214,F,1.5625,1.2,0.3875,36.0322145,16.329312,8.63242275,9.355335,11.0
215,F,1.2125,0.9375,0.3125,16.45688475,7.144074,4.06815325,4.195726,8.0
216,F,1.2375,0.9875,0.3125,16.9813505,6.633783,3.72795925,5.2446575,10.0
217,I,1.1125,0.8375,0.2875,11.94931425,6.76135575,2.36718325,3.18931875,8.0
218,M,1.1875,0.875,0.3125,13.777857,5.4147545,3.061746,4.706017,8.0
219,I,0.9,0.675,0.2375,5.57067675,2.48058125,1.20485375,1.984465,7.0
220,I,1.2625,0.9625,0.3125,15.35125425,7.29999625,3.3168915,4.7343665,8.0
221,I,1.1875,0.9125,0.3125,14.8267885,6.577084,2.8066005,4.1106775,7.0
222,I,0.85,0.6375,0.1875,5.06038575,2.0695135,1.17650425,1.70097,8.0
223,M,1.2875,1.05,0.4,24.5790165,11.736693,4.89028875,7.37087,8.0
224,M,1.6,1.3125,0.4375,34.359594,14.69921575,6.64795775,10.20582,10.0
225,M,1.55,1.2875,0.3875,37.194544,15.06775925,8.9867915,11.623295,13.0
226,F,1.3625,1.0875,0.3625,21.715717,8.46232575,4.365823,7.5126175,10.0
227,M,1.5625,1.25,0.3875,31.18445,15.5071765,7.07320025,7.37087,11.0
228,F,1.5625,1.2875,0.425,39.179009,17.8885345,9.015141,10.0640725,11.0
229,M,1.35,1.0625,0.3375,21.38969775,8.68912175,3.72795925,6.80388,11.0
230,I,1.1625,0.9,0.3,13.90542975,5.5281525,3.69960975,4.1106775,8.0
231,I,1.1625,0.875,0.3125,14.458245,6.25106475,2.9199985,3.685435,8.0
232,M,1.1875,0.9125,0.275,12.91319725,5.4147545,2.70737725,3.8271825,9.0
233,M,1.575,1.2125,0.4625,33.72173025,13.39513875,7.1724235,10.489315,12.0
234,M,1.3875,1.075,0.375,24.67823975,11.4815475,5.556502,7.087375,9.0
235,I,1.325,1.0625,0.3375,19.85882475,8.9300925,2.721552,5.14543425,8.0
236,I,0.9625,0.7125,0.2125,8.5898985,3.21766825,1.68679525,2.1262125,7.0
237,M,1.25,1.0375,0.3375,19.85882475,6.123492,4.309124,6.80388,14.0
238,F,1.4625,1.1625,0.4,25.117657,9.87980075,5.2446575,7.5126175,10.0
239,F,1.675,1.3125,0.5,45.91201525,15.7906715,8.731646,13.664459,12.0
240,I,1.05,0.8125,0.25,9.07184,4.37999775,2.02698925,2.6932025,7.0
241,F,1.4,1.1,0.325,23.51591025,8.88756825,5.17378375,7.2291225,12.0
242,I,1.0625,0.8125,0.25,12.0485375,6.7755305,2.4664065,2.9766975,7.0
243,I,1.25,1.0,0.325,20.22736825,7.200773,5.273007,6.0951425,9.0
244,M,1.1375,0.8875,0.2875,14.55746825,6.0951425,2.96252275,3.8271825,15.0
245,I,1.125,0.875,0.3375,15.74814725,6.0384435,3.98310475,3.98310475,8.0
246,I,1.2875,1.0,0.3125,16.839603,8.85921875,3.64291075,5.10291,8.0
247,M,1.3125,1.0,0.325,21.38969775,9.865626,4.4508715,6.3786375,9.0
248,M,1.45,1.175,0.3625,27.6407625,10.7444605,5.51397775,8.221355,19.0
249,F,1.6625,1.3375,0.4375,41.34774575,18.937466,8.63242275,12.0485375,11.0
250,M,1.1875,0.8875,0.3,16.71203025,7.654365,2.721552,4.6776675,7.0
251,F,1.2625,0.9625,0.3875,21.58814425,8.4198015,3.912231,7.2291225,14.0
252,M,1.7375,1.4125,0.475,48.477645,21.16290175,10.2908685,13.324265,12.0
253,M,1.55,1.1875,0.3875,30.3623145,13.834556,6.917278,8.6465975,15.0
254,I,1.0,0.7875,0.25,9.8372765,3.98310475,1.6726205,2.6932025,7.0
255,I,1.15,0.9375,0.2625,15.77649675,7.1157245,3.288542,3.8271825,7.0
256,M,1.5375,1.1875,0.3875,37.9032815,16.0174675,9.015141,10.0640725,10.0
257,M,1.725,1.375,0.4625,47.230267,24.13959925,10.602713,11.623295,10.0
258,I,0.725,0.525,0.125,3.16096925,1.360776,0.66621325,0.850485,5.0
259,F,1.1375,0.875,0.325,16.40018575,4.309124,3.4869885,5.6699,10.0
260,F,1.5375,1.2125,0.4125,30.43318825,10.90038275,7.7394135,10.489315,19.0
261,F,1.4375,1.125,0.3375,26.12406425,10.8578585,6.3219385,8.221355,15.0
262,M,1.5375,1.175,0.375,32.02076025,15.80484625,6.67630725,8.788345,10.0
263,M,1.1125,0.875,0.25,12.757275,5.34388075,2.8066005,3.81300775,8.0
264,I,0.9125,0.6875,0.25,7.8528115,3.1467945,1.63009625,2.4097075,7.0
265,M,1.05,0.7875,0.275,9.73805325,4.26659975,2.25378525,2.83495,9.0
266,M,1.575,1.2875,0.3125,33.5941575,14.33067225,7.767763,10.0640725,13.0
267,F,1.25,0.925,0.25,14.911837,7.04485075,3.061746,4.53592,8.0
268,I,0.9,0.675,0.225,5.06038575,2.721552,1.0489315,1.304077,5.0
269,M,1.5125,1.1375,0.375,30.107169,13.777857,8.334753,8.3631025,12.0
270,M,1.5,1.175,0.4,30.1355185,13.1825175,6.64795775,8.9300925,11.0
271,I,0.8,0.6,0.1875,4.09650275,1.5592225,0.63786375,1.5592225,10.0
272,M,1.4375,1.0875,0.375,28.02348075,13.99047825,5.273007,7.7961125,9.0
273,M,1.75,1.3875,0.575,52.673371,26.3366855,12.14776075,12.8990225,11.0
274,M,1.625,1.275,0.4375,35.50774875,16.6978555,7.200773,9.7805775,12.0
275,M,1.425,1.125,0.4125,27.6407625,10.149121,6.95980225,8.788345,14.0
276,M,1.45,1.1,0.375,29.3417325,12.74310025,5.8683465,8.0796075,9.0
277,F,1.4375,1.125,0.4625,29.5118295,10.70193625,5.2446575,9.7805775,19.0
278,M,1.4875,1.2125,0.4125,32.6869735,14.514944,6.917278,8.50485,10.0
279,I,0.8875,0.675,0.25,7.55514175,3.35941575,1.48834875,1.7860185,6.0
280,M,1.425,1.1125,0.375,26.01066625,11.35397475,5.3580555,7.2291225,12.0
281,I,0.95,0.7125,0.2625,7.81028725,3.96893,1.7293195,2.26796,7.0
282,M,1.375,1.0375,0.3375,20.3265915,9.48290775,4.23825025,4.9611625,8.0
283,I,1.175,0.9375,0.2625,13.8062065,5.9817445,3.21766825,4.195726,8.0
284,M,1.2875,1.0625,0.3375,19.17843675,7.994559,4.86193925,5.2446575,7.0
285,I,1.2125,0.975,0.3,15.5071765,6.9456275,3.07592075,4.139027,8.0
286,M,1.575,1.225,0.4125,35.8621175,17.08057375,7.86698625,8.9300925,9.0
287,I,0.9,0.675,0.2125,6.30776375,2.56562975,1.20485375,1.984465,6.0
288,M,1.1875,1.0,0.2625,14.55746825,6.8322295,2.14038725,4.3941725,10.0
289,I,1.15,0.9,0.3125,14.3731965,6.10931725,2.73572675,4.6776675,8.0
290,I,1.3,1.0,0.3125,16.9813505,6.406987,4.025629,5.2446575,10.0
291,F,1.6125,1.2375,0.375,35.98969025,13.2959155,7.6827145,9.62465525,11.0
292,M,1.5875,1.225,0.425,36.55668025,16.726205,8.94426725,11.623295,14.0
293,F,1.375,1.0875,0.3875,24.73493875,8.63242275,5.499803,8.6465975,15.0
294,I,1.2,0.8875,0.3,12.984071,6.13766675,2.62232875,3.685435,8.0
295,F,1.5375,1.175,0.4125,29.7386255,13.721158,5.62737575,7.767763,10.0
296,F,1.4375,1.125,0.4,26.12406425,10.75863525,6.520385,8.0796075,12.0
297,M,1.2625,1.0125,0.3125,21.87163925,8.17883075,3.912231,6.0951425,19.0
298,I,1.475,1.1125,0.3625,24.08290025,11.09882925,4.72019175,7.37087,8.0
299,M,1.7625,1.375,0.5,49.34230475,24.79163775,8.4198015,13.834556,10.0
300,I,0.95,0.7125,0.225,8.71747125,4.03980375,1.51669825,2.551455,7.0
301,M,1.5375,1.2125,0.45,34.8415355,13.96212875,7.767763,11.3398,10.0
302,M,1.525,1.175,0.4125,31.70891575,13.154168,6.066793,9.07184,12.0
303,M,1.1125,0.8625,0.275,12.43125575,5.953395,2.93417325,3.685435,11.0
304,M,1.6625,1.275,0.45,38.55532,17.5483405,8.6465975,10.5176645,9.0
305,M,1.6875,1.325,0.3875,37.9032815,17.5483405,8.29222875,9.355335,9.0
306,M,1.7375,1.3375,0.5,49.59745025,21.98503725,11.07047975,13.60776,10.0
307,M,1.5875,1.3,0.4375,41.730464,17.78931125,8.09378225,12.757275,14.0
308,M,1.5125,1.125,0.4,26.26581175,11.15552825,6.95980225,7.93786,15.0
309,F,1.525,1.2,0.4,34.23202125,15.06775925,7.07320025,9.7805775,10.0
310,M,1.225,0.9375,0.2875,16.42853525,7.0590255,3.86970675,4.6776675,7.0
311,M,1.5125,1.1875,0.3875,33.8776525,12.09106175,5.8683465,8.334753,10.0
312,F,1.4375,1.15,0.375,27.499015,12.51630425,6.917278,6.23689,9.0
